x,y,z,classification,gpstime,scan_angle,intensity,number_of_returns,return_number,point_source_ID,edge_of_flight_line_flag,direction_of_scan_flag,user_data,red_channel,green_channel,blue_channel
1293495.910,5044348.500,311.840,2,353620819.338948,10.998,9472,1,1,6,0,0,0,0,0,0
1293495.200,5044348.940,311.870,3,353620819.338955,10.002,8704,1,1,6,0,0,0,0,0,0
1293494.480,5044349.380,311.860,3,353620819.338962,10.002,8960,1,1,6,0,0,0,0,0,0
1293493.760,5044349.810,311.900,3,353620819.338969,10.002,7936,1,1,6,0,0,0,0,0,0
1293493.060,5044350.250,311.870,2,353620819.338976,10.002,8448,1,1,6,0,0,0,0,0,0
1293492.320,5044350.690,311.960,3,353620819.338982,10.002,11264,1,1,6,0,0,0,0,0,0
1293491.610,5044351.130,311.920,3,353620819.338989,10.002,12032,1,1,6,0,0,0,0,0,0
1293490.740,5044351.630,312.770,4,353620819.338996,10.002,3328,1,1,6,0,0,0,0,0,0
1293490.390,5044351.920,310.780,3,353620819.339003,10.002,11264,1,1,6,0,0,0,0,0,0
1293490.640,5044352.560,310.740,3,353620819.352815,10.002,11776,1,1,6,0,0,0,0,0,0
1293491.440,5044352.080,310.260,2,353620819.352822,10.002,8448,1,1,6,0,0,0,0,0,0
1293491.840,5044351.780,311.920,3,353620819.352829,10.002,14336,1,1,6,0,0,0,0,0,0
1293492.550,5044351.340,311.950,3,353620819.352835,10.002,17664,1,1,6,0,0,0,0,0,0
1293493.270,5044350.910,311.890,2,353620819.352842,10.002,9728,1,1,6,0,0,0,0,0,0
1293493.930,5044350.490,312.160,3,353620819.352849,10.002,13824,1,1,6,0,0,0,0,0,0
1293494.690,5044350.040,311.860,2,353620819.352856,10.002,9472,1,1,6,0,0,0,0,0,0
1293495.400,5044349.610,311.850,2,353620819.352862,10.002,10752,1,1,6,0,0,0,0,0,0
1293496.100,5044349.170,311.860,2,353620819.352869,10.998,9728,1,1,6,0,0,0,0,0,0
1293496.810,5044348.740,311.860,2,353620819.352876,10.998,11776,1,1,6,0,0,0,0,0,0
1293497.520,5044348.310,311.870,2,353620819.352883,10.998,10496,1,1,6,0,0,0,0,0,0
1293498.210,5044347.880,311.860,2,353620819.352890,10.998,10496,1,1,6,0,0,0,0,0,0
1293498.920,5044347.450,311.870,2,353620819.352896,10.998,10240,1,1,6,0,0,0,0,0,0
1293499.620,5044347.020,311.850,2,353620819.352903,10.998,10752,1,1,6,0,0,0,0,0,0
1293500.320,5044346.600,311.870,3,353620819.352910,10.998,9216,1,1,6,0,0,0,0,0,0
1293501.020,5044346.170,311.880,3,353620819.352917,10.998,9472,1,1,6,0,0,0,0,0,0
1293501.540,5044345.820,312.790,3,353620819.352924,10.998,10496,1,1,6,0,0,0,0,0,0
1293502.380,5044345.330,312.050,3,353620819.352931,10.998,12800,1,1,6,0,0,0,0,0,0
1293503.040,5044344.920,312.200,3,353620819.352937,10.998,10496,1,1,6,0,0,0,0,0,0
1293503.610,5044344.550,312.860,3,353620819.352944,10.998,17152,1,1,6,0,0,0,0,0,0
1293504.220,5044344.160,313.340,4,353620819.352951,10.998,20224,1,1,6,0,0,0,0,0,0
1293504.800,5044343.790,313.870,4,353620819.352958,10.998,18944,1,1,6,0,0,0,0,0,0
1293505.520,5044343.350,313.730,4,353620819.352964,10.998,21248,1,1,6,0,0,0,0,0,0
